term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,meaninglanguage1,meaning1,meaninglanguage2,meaning2
과자도,떡볶이도 있고 다른 과자도 많았어요.,,,,,,,en,snacks + 도,,
과외를,학원에 다니거나 과외를 받는 친구들도 많았어요.,,,,,,,en,private lessons,,
문구점에서,그리고 문구점에서 떡볶이도 팔았어요.,,,,,,,en,at the stationery store,,
달고나를,달고나를 만들어 주는 가게도 있었어요.,,,,,,,en,dalgona,,
팔았어요,그리고 문구점에서 떡볶이도 팔았어요.,동사,팔다,동사,팔다,,,en,sold,,
학교생활이,학생들을 보니까 제 학교생활이 생각났어요.,,,,,,,en,School life + 이,,
학교생활,26. 학교생활 School Life,,,,,,,en,School life,,
원이었어요,…300 원 또는 500 원이었어요.,,,,,,,en,It was won,,
중학교에,그런데 중학교에 간 후에 공부를 많이…,,,,,,,en,Middle School,,
컵이,그때 떡볶이 한 컵이 300 원 또는 500…,,,,,,,en,Cup,,
학기를,…월 4 일에 1 학기를 시작했어요.,,,,,,,en,semester,,
가게도,달고나를 만들어 주는 가게도 있었어요.,,,,,,,en,"shops, too, also",,
중학교,"초등학교, 중학교, 고등학교, 대학교 모두 3…",,,,,,,en,Middle school,,
달고나도,그래서 달고나도 많이 사 먹고 아이스크림도…,,,,,,,en,Honeycomb toffee + 도,,
과자들도,몸에 안 좋지만 맛있는 과자들도 많이 사 먹었어요.,,,,,,,en,Sweets,,
때부터,2 학기 때부터 우리,,,,,,,en,from time,,
모두,한국어의 모음은 모두 21 개입니다. 단모음은 10…,,,,,,,en,All,,
학원,"피아노 학원, 태권도, 수학 학원에 다녔어요.",,,,,,,en,after-school academy,,
태권도,"피아노 학원, 태권도, 수학 학원에 다녔어요.",,,,,,,en,Taekwondo,,
학원에서는,그때 학원에서는 공부도 했지만 친구들이랑 많이…,,,,,,,en,At the school,,
나는데,잘 기억이 안 나는데 아마도 이 주에 한…,,,,,,,en,"1. grow, sprout 2. happen, break out 3. occur, cross one's mind",,
곳에,내가 이거 안 되는 곳에 넘어오네.,,,,,,,en,place,,
사실,…다 같이 하니까 재미있었고 사실 깊게 생각하지 않았어요.,,,,,,,en,"a fact, reality",,
깊게,…같이 하니까 재미있었고 사실 깊게 생각하지 않았어요.,,,,,,,en,adv.  deep,,
야간자율학습'이,제가 고등학생 때는‘ 야간자율학습'이 있었어요.,,,,,,,en,Nightly self-study,,
카페마다,그리고 카페마다 다르지만 한 사람이 커피…,,,,,,,en,per cafe,,
포장하는,커피를 마시고 가는 사람보다 포장하는 사람이 더 많아요.,,,,,,,en,Packed,,
영수증,보통 영수증 밑에 비밀번호가 있어요.,,,,,,,en,receipt,,
매장,매장 안에서는 유리컵을 써야 해요.,,,,,,,en,"매장3 賣場   (판매장) shop, store (백화점) department",,
벽에,또는 벽에 비밀번호가 써져 있어요.,,,,,,,en,Wall,,
교복이,학교에서 하루 종일 있어서 교복이 불편했어요.,,,,,,,en,[校服] school uniform,,
만약,만약 다른 가게 음식이 있으면…,,,,,,,en,"if, in case (of)",,
체육복을,그래서 고등학생 때는 학교에서 체육복을 많이 입었어요.,,,,,,,en,"gym clothes, workout clothes",,
생활이지만,지금 생각하면 정말 힘든 생활이지만 그때는 괜찮았어요.,,,,,,,en,Life but,,
밑에,보통 영수증 밑에 비밀번호가 있어요.,,,,,,,en,Under/ Below,,
써져,또는 벽에 비밀번호가 써져 있어요.,,,,,,,en,Written,,
포장할,포장할 때만 플라스틱 컵을 쓸…,,,,,,,en,To wrap,,
컵에,이럴 때는“ 플라스틱 컵에 담아 주세요” 라고 직원한테…,,,,,,,en,In a cup,,
최애,…싼 카페가 있어요. 제 최애 카페예요.,,,,,,,en,"최애하다 love most tenderly[dearly, deeply]",,
분위기예요,카페가 작지만 아늑하고 따뜻한 분위기예요.,,,,,,,en,"atmosphere, ambience",,
인,보통 카페 안에‘1 인 1 메뉴'라고 써져 있어요.,,,,,,,en,(formal) benevolence,,
메뉴'라고,…카페 안에‘1 인 1 메뉴'라고 써져 있어요.,,,,,,,en,Menu,,
고등학교에도,지금 고등학교에도 있는지 잘 모르겠어요.,,,,,,,en,also in high school,,
불편했어요,…하루 종일 있어서 교복이 불편했어요.,,,,,,,en,I was uncomfortable.,,
치마였어요,왜냐하면 교복이 딱 맞고 치마였어요.,,,,,,,en,It was a skirt,,
카페인데,개인 카페인데 사장님이 커피를 정말 좋아하세요.,,,,,,,en,It's a cafe.,,
충전기를,그래서 카페에 갈 때 충전기를 가져가요.,,,,,,,en,Charger,,
노트북을,한국 카페에서는 핸드폰이나 노트북을 충전할 수 있어요.,,,,,,,en,Notebook,,
담아,이럴 때는“ 플라스틱 컵에 담아 주세요” 라고 직원한테 말하면…,동사,담다,동사,담다,,,en,"put into, box up",,
폈어요,그리고 꽃이 많이 폈어요.,,,,,,,en,"펴다 - unfold, spread (out), open",,
경치가,그리고 경치가 좋은 카페를 좋아해요.,,,,,,,en,"scene, view, landscape",,
유리컵을,매장 안에서는 유리컵을 써야 해요.,,,,,,,en,a glass cup,,
후기가,그리고 후기가 좋은 카페에 가요.,,,,,,,en,Later,,
사장님이,카페 사장님이 싫어할 수도 있어요.,,,,,,,en,The boss,,
부르는데,보통‘ 야자'라고 부르는데 밤까지 학교에서 공부를 하는…,,,,,,,en,call out so / and,,
인기가,…카페보다 적지만 커피가 맛있어서 인기가 많아요.,,,,,,,en,popular,,
싼,저희 동네에 커피가 맛있고 싼 카페가 있어요. 제 최애…,,,,,,,en,"cheaper , cheapest",,
개인,개인 카페인데 사장님이 커피를 정말…,,,,,,,en,n.  individual,,
아늑하고,카페가 작지만 아늑하고 따뜻한 분위기예요.,,,,,,,en,"cozy, snug",,
충전해도,한국에서는 카페나 식당에서 충전해도 괜찮아요.,,,,,,,en,Even if you charge,,
직원한테,…컵에 담아 주세요” 라고 직원한테 말하면 돼요.,,,,,,,en,To the staff,,
책상이,그런데 책상이 너무 작은 카페를 안…,,,,,,,en,"writing table, desk",,
넣어야,…가게 음식이 있으면 가방에 넣어야 해요.,,,,,,,en,"넣다 v. put, p",,
충전할,한국 카페에서는 핸드폰이나 노트북을 충전할 수 있어요.,,,,,,,en,To be charged,,
적지만,사실 메뉴는 다른 카페보다 적지만 커피가 맛있어서 인기가 많아요.,,,,,,,en,"Small, but",,
시켜야,…커피 한 잔을 꼭 시켜야 돼요.,,,,,,,en,"order, force",,
비밀번호가,와이파이 비밀번호가 있어요.,,,,,,,en,password + 가,,
팔고,커피도 팔고 원두도 팔아요.,동사,팔다,동사,팔다,,,en,Sell,,
가져가요,…카페에 갈 때 충전기를 가져가요.,동사,가져가다,동사,가져가다,,,en,You take it.,,
기준,음력 은 달 을 기준 으로 만든 달력 이에요.,,,,,,,en,"standards , criteria",,
세배,…을 먹은 후 에 세배 를 해요.,,,,,,,en,New Year's bow,,
당연하게,그냥 당연하게 해야 하는 것이라고 생각했어요.,,,,,,,en,"natural, reasonable, fair",,
생활이었네요,…다시 생각하니까 정말 힘든 생활이었네요.,,,,,,,en,Life.,,
학교생활에,이렇게 제 학교생활에 대해서 이야기했는데 여러분은 어땠어요?,,,,,,,en,In school life,,
고른,1 등 이 고른 후 에 2 등이…,,,,,,,en,"choose, select, pick (out)",,
무엇,…이 있어요? 설날 에 무엇 을 해요?,,,,,,,en,"what, what kind of",,
복,…를 할 때‘ 새해 복 많이 받으세요' 라고 말해요.,,,,,,,en,"(good) luck, good fortune",,
정해요,…음력 으로 날짜 를 정해요.,동사,정하다,동사,정하다,,,en,"decide, determine",,
어렸,그래서 제 가 어렸 을 때 떡국 을…,,,,,,,en,Young,,
에게,…세배' 는 어른들 에게 절 을 하는 거…,,,,,,,en,"to, at, for, by",,
떡국,…에서 는 설날 에 떡국 을 먹어요.,,,,,,,en,Rice cake soup,,
간식,…같이 수다를떨 고 맛있는 간식 도 먹어요.,,,,,,,en,snack inbetween meals,,
다고,…한 살 더 많아진 다고 생각해요.,,,,,,,en,다고,,
달력,…을 기준 으로 만든 달력 이에요.,,,,,,,en,calendar,,
전통,…도 먹고 한국 의 전통 과자 도 먹어요.,,,,,,,en,tradition,,
절,…세배' 는 어른들 에게 절 을 하는 거 예요.,,,,,,,en,temple,,
어른들,…세배' 는 어른들 에게 절 을 하는…,,,,,,,en,Adults,,
과자,…먹고 한국 의 전통 과자 도 먹어요.,,,,,,,en,"sweets, confectionery",,
명절,…한국 의 가장 큰 명절 이에요.,,,,,,,en,(national) holiday,,
댓글,그 명절 에 대해서 댓글 에 써 주세요.,,,,,,,en,comment,,
친척들,…설날 에 가족 하고 친척들 을 만났어요.,,,,,,,en,Relatives,,
놀이,이렇게 다 같이 전통 놀이 를 하면서 시간 을…,,,,,,,en,"play, game, pastime, amusement, (f) recreation",,
세뱃돈,…를 한 후 에 세뱃돈 을 받아요.,,,,,,,en,new years money kids receive,,
평소,평소 에 도 가끔 먹…,,,,,,,en,[平素] ordinary times,,
만난,또는 오랜만에 만난 친척 하고 이야기 를…,,,,,,,en,Met,,
음력,한국 설날 은 음력 1 월 1 일…,,,,,,,en,(陰曆) lunar calendar,,
강정,"저희 는 약과 나 강정, 떡 을 먹어요.",,,,,,,en,"gangjeong, fried glutinous rice crackers with sesame or beans",,
날짜,…추석 은 음력 으로 날짜 를 정해요.,,,,,,,en,Date,,
약과,"저희 는 약과 나 강정, 떡 을…",,,,,,,en,Drugs/medicine,,
수다를떨,그래서 다 같이 수다를떨 고 맛있는 간식 도…,,,,,,,en,Chatter,,
준비해요,…할 때 선물 을 준비해요.,동사,준비하다,동사,준비하다,,,en,Get ready.,,
깔끔하,설날 에 는 깔끔하 고 단정한 옷 을…,,,,,,,en,Neat,,
뜰까,비가 올까? 해가 뜰까?,,,,,,,en,open ㄹ까,,
조명과,거리에는 화려한 조명과 장식이 있어요.,,,,,,,en,Lighting and,,
관심을,저는 다양한 나라에 관심을 갖고 있어요.,,,,,,,en,Interest,,
상상이,여러분 한국의 크리스마스 상상이 가시나요?,,,,,,,en,"(想像) imagination; imagine, picture",,
즐겨요,…크리스마스는 대부분 커플들이 데이트를 즐겨요.,동사,즐기다,즐기다,동사,,,en,Enjoy,,
초보자라면,"한국어를 시작한 초보자라면,",,,,,,,en,"beginner, novice",,
간단히,저는 아침에 간단히 먹는 것을 좋아해요.,,,,,,,en,"simply, briefly",,
오신,안녕하세요. 해달이의 한국어 팟캐스트에 오신 여러분!,,,,,,,en,"Welcome, come",,
내리면,"크리스마스에 눈이 내리면,",동사,내리다,동사,내리다,,,en,"land, arrive",,
지역,"호캉스를 가거나, 지역 축제를 즐겨요.",,,,,,,en,local,,
원고를,이 원고를 통해 쉽게 이해하고 배울…,,,,,,,en,manuscript,,
통해,이 원고를 통해 쉽게 이해하고 배울 수…,동사,통하다,동사,통하다,,,en,"통하다 v. run, go through, understand, make sense, pass, circulate, get by, open",,
종종,종종 시리얼이나 샌드위치를 먹어요.,,,,,,,en,"sometimes, frequently",,
관심있는,"한국어를 배우고, 관심있는 여러분!",,,,,,,en,Of interest,,
환영합니다,여러분을 환영합니다!,,,,,,,en,Welcome,,
습관이에요,이건 저의 습관이에요.,,,,,,,en,It's a habit,,
배우고,…있으면 피아노하고 기타를 다시 배우고 싶어요.,동사,배우다,동사,배우다,,,en,to learn,,
두근두근,저는 두근두근 가슴이 뛰어요.,,,,,,,en,"Throbbing, beating",,
축제를,"호캉스를 가거나, 지역 축제를 즐겨요.",,,,,,,en,festival,,
뜨면,"아침에 눈을 뜨면, 저는 날씨를 확인해요.",동사,뜨다,동사,뜨다,,,en,"float, resting on liquid or air, e.g. the sun",,
기념해요,케이크를 사서 크리스마스를 기념해요.,,,,,,,en,Celebrate,,
짜파게티,짜파게티 한 입~ 총각김치 한…,,,,,,,en,spaghetti,,
돌아온,에피소드로 돌아온,,,,,,,en,returned,,
고를까요,오늘은 어떤 김치를 고를까요?,,,,,,,en,I will choose.,,
호캉스를,"호캉스를 가거나, 지역 축제를 즐겨요.",,,,,,,en,vacation,,
사먹어야해요,왜냐하면 제가 좋아하는 김치를 사먹어야해요.,,,,,,,en,have to buy and eat,,
해달이의,안녕하세요. 해달이의 한국어 팟캐스트에 오신 여러분!,,,,,,,en,Sea Otter's,,
기쁩니다,…한국어 여정을 시작하게 되어 기쁩니다.,,,,,,,en,Pleased to,,
일상을,"오늘은 저, 해달이의 일상을 공유할 거에요!",,,,,,,en,Everyday life,,
해달이에요,해달이에요!,,,,,,,en,A sea otter,,
여정을,여러분과 함께 한국어 여정을 시작하게 되어 기쁩니다.,,,,,,,en,Journey,,
교환에,…쓸모없는 선물' 교환에 대해서 알아요?,,,,,,,en,Exchange,,
더욱,더욱 로맨틱할 거예요!,,,,,,,en,all the more,,
공유할,"오늘은 저, 해달이의 일상을 공유할 거에요!",,,,,,,en,共有  share,,
해달이입니다,저는 해달이입니다.,,,,,,,en,Sea Otter,,
해달이가,저 해달이가 같이 응원할게요.,,,,,,,en,해달이 [Name] +가,,
청취자,"해달이의 팟캐스트 청취자 여러분,",,,,,,,en,listener,,
세워보는,저와 함께 새해 목표를 세워보는 건 어때요~?,,,,,,,en,looking up,,
특별한,…남편도 한국 카페에서 재밌고 특별한 기억을 많이 만들었어요.,,,,,,,en,special,,
다가올수록,"크리스마스가 다가올수록,",,,,,,,en,"approach, draw near [closer], come closer [near], come up (to)",,
어떨까요,한국에서의 크리스마스는 어떨까요?,,,,,,,en,"how about , how do you feel , how is it",,
캐롤도,크리스마스 캐롤도 들려요!,,,,,,,en,carols too,,
배울,…한국어와 비슷한 것이 많아서 배울 때,동사,배우다,동사,배우다,,,en,Learn,,
소소한,메뉴 선택은 저의 소소한 행복 중 하나에요.,,,,,,,en,"trivial, minor",,
쓸모없는,쓸모없는 선물' 교환에 대해서 알아요?,,,,,,,en,useless,,
순간이,이런 순간이 크리스마스를 특별하게 만들어요.,,,,,,,en,"moment, case",,
혹은,"혹은 뉴진스를 좋아한다면,",,,,,,,en,or; alternatively,,
여러분이,그리고 여러분이 좋아하는 운동과 싫어하는 운동은…,,,,,,,en,"pron. all of you, every one of you",,
가시나요,여러분 한국의 크리스마스 상상이 가시나요?,,,,,,,en,Are you going,,
뉴진스를,"혹은 뉴진스를 좋아한다면,",,,,,,,en,New Jeans,,
알아가는,…통해 더 큰 세계를 알아가는 거예요.,,,,,,,en,Getting to know,,
활용한,모두 김치를 활용한 요리에요.,,,,,,,en,Utilizing,,
교환하기도,크리스마스 선물을 교환하기도 해요,,,,,,,en,"교환하다 交換하다  ( 교환하기도 )   1.Verb  change2.Verb  exchange, trade",,
놀러가면,"그래서 이번 여름에 바다에 놀러가면,",,,,,,,en,Go out to play,,
기도하며,오길 기도하며,,,,,,,en,while praying,,
최애'편이에요,이번 에피소드는' 김치는 내 최애'편이에요.,,,,,,,en,"I'm on the ""favorite"" side.",,
읽는,…조용한 음악을 틀고 책을 읽는 것을 좋아해요.,,,,,,,en,읽다 v. read,,
기대되는,기대되는 레시피를 알려주세요.,,,,,,,en,Expected,,
최애'는,최애'는 가장 좋아하는 것을 말해요.,,,,,,,en,"""Favorite"" means",,
떠졌어요,…먹을 생각에 일찍 눈이 떠졌어요.,,,,,,,en,"open (eyes), wake up",,
대표,김치는 한국의 대표 음식 중 하나에요!,,,,,,,en,"representative, delegate",,
쓸모없지만,쓸모없지만 재미있는 선물이에요.,,,,,,,en,useless +지만,,
응원할게요,저 해달이가 같이 응원할게요.,,,,,,,en,I will support you,,
나누면,다양한 사람과 다양한 이야기를 나누면,동사,나누다,동사,나누다,,,en,Dividing,,
특별하게,이런 순간이 크리스마스를 특별하게 만들어요.,,,,,,,en,special,,
최애야'라고,…스시는 내 최애야'라고 말할 수 있어요,,,,,,,en,best is +라고 [quote],,
아삭아삭,씹으면 아삭아삭 소리도 나요.,,,,,,,en,Crunchy,,
오길,오길 기도하며,,,,,,,en,"come, arrive ㄹ",,
지난해에,"지난해에 저는 새로운 친구들을 만나고,",,,,,,,en,Last year,,
멋진,"도전적이고, 멋진 해였어요.",,,,,,,en,"멋진 adj. splendid, wonderful, excellent, marvelous; grand, elegant, magnificent",,
틀고,밤에는 조용한 음악을 틀고 책을 읽는 것을 좋아해요.,동사,틀다,동사,틀다,,,en,turn,,
저와,저와 남편도 한국 카페에서 재밌고…,,,,,,,en,Mine,,
편안한,그리고 편안한 잠옷을 입어요.,,,,,,,en,comfortable,,
씹으면,씹으면 아삭아삭 소리도 나요.,동사,씹다,동사,씹다,,,en,Chew,,
총각김치,"제 냉장고에는 총각김치, 배추김치, 파김치가 있어요.",,,,,,,en,"young radish kimchi, pickled young radishes",,
행복을,김치는 나에게 행복을 줘요.,,,,,,,en,Happiness,,
하나에요,…한국의 대표 음식 중 하나에요!,,,,,,,en,It's one.,,
매운,그리고 스트레스 받을 때 매운 음식 먹는 것을 좋아해요.,,,,,,,en,"맵다   (맛이) spicy, hot, fiery",,
나요,…잠을 못 자면 짜증이 나요.,동사,나다,동사,나다,,,en,"grow , sprout",,
배추김치,"제 냉장고에는 총각김치, 배추김치, 파김치가 있어요.",,,,,,,en,cabbage kimchi,,
총각김치에요,바로 바로 총각김치에요.,,,,,,,en,"young radish kimchi, pickled young radishes 에요",,
총각김치를,그러면 저는 총각김치를 먹으러 갈게요.,,,,,,,en,young radish kimchi 를,,
모험을,많은 모험을 경험했어요.,,,,,,,en,adventure,,
모험가,첫 번째 목표는 모험가 되기.,,,,,,,en,adventurer,,
도전해볼게요,"어렵지만, 저 해달이가 도전해볼게요!",,,,,,,en,I'll try,,
추천,"종종 여러분과 함께 추천 도서를 공유하며, 책을 읽고…",,,,,,,en,"recommendation, recommend       推薦",,
주의해야,"하지만, 중독성에 주의해야 돼요.",,,,,,,en,"caution, beware",,
경험했어요,많은 모험을 경험했어요.,동사,경험하다,동사,경험하다,,,en,Experienced,,
보호하기,세 번째 목표는 바다 보호하기!,,,,,,,en,Protect,,
주울,쓰레기를 주울 거예요!,,,,,,,en,pick up,,
도서를,"종종 여러분과 함께 추천 도서를 공유하며, 책을 읽고 싶어요!",,,,,,,en,Books,,
파김치가,"제 냉장고에는 총각김치, 배추김치, 파김치가 있어요.",,,,,,,en,green onion kimchi,,
돌아다니고,"저는 더 많은 곳들을 돌아다니고,",,,,,,,en,"Wandering, go around , get around , here and there",,
도전적이고,"도전적이고, 멋진 해였어요.",,,,,,,en,Challenging and,,
최애인,저 해달이의 최애인 김치 일상을 소개해봤어요.,,,,,,,en,my favorite,,
짜파게티를,왜냐하면 점심으로 짜파게티를 먹을 거에요.,,,,,,,en,Chapaghetti,,
김치전,김치볶음밥? 김치전? 김치찌개?,,,,,,,en,kimchi pancake,,
세계가,저의 세계가 커질 거예요.,,,,,,,en,world,,
생겼어요,좋은 친구들과 새로운 가족도 생겼어요.,동사,생기다,동사,생기다,,,en,come into being,,
왜냐고요,왜냐고요?,,,,,,,en,왜냐고요 = asking why?,,
바닷속에서,지난해에 바닷속에서 많은 쓰레기를 봤어요.,,,,,,,en,In the sea,,
목표를,여러분의 목표를 댓글에 써주세요.,,,,,,,en,[目標] a mark; a target; a sign; a goal;,,
쇼크,쇼크‘ 라고 해요! 정말 신나요.,,,,,,,en,shock,,
가져간,바다에 가져간 쓰레기를 잘 가져와야해요.,,,,,,,en,took,,
곳들을,"저는 더 많은 곳들을 돌아다니고,",,,,,,,en,Places,,
매력적이에요,그리고 드라마속 캐릭터들이 매력적이에요.,,,,,,,en,Attractive,,
공유할게요,"먼저, 저의 새해 목표를 공유할게요!",,,,,,,en,I'll share it.,,
초대할게요,오늘은 K-드라마 속으로 초대할게요.,,,,,,,en,I'll invite you.,,
속으로,오늘은 K-드라마 속으로 초대할게요.,,,,,,,en,"adv. in, into, toward the inside",,
비스트예요,…제일 처음 빠진 그룹은 비스트예요.,,,,,,,en,Beast.,,
텔미,원더걸스의 텔미 댄스 아시나요?,,,,,,,en,“Tell me” (some K-pop dance),,
커질,저의 세계가 커질 거예요.,동사,커지다,동사,커지다,,,en,"grow big, wax",,
흥미롭고,스토리가 흥미롭고 다양해요.,,,,,,,en,"interesting, attractive, exciting",,
운이,운이 좋았다고 생각해요.,,,,,,,en,"lucky , luck , chance",,
중독성에,"하지만, 중독성에 주의해야 돼요.",,,,,,,en,Addictive,,
세계를,…모험을 통해 더 큰 세계를 알아가는 거예요.,,,,,,,en,The world,,
즐거워요,…새로운 에피소드를 기다리는 것은 즐거워요.,,,,,,,en,pleasant,,
원더걸스의,원더걸스의 텔미 댄스 아시나요?,,,,,,,en,Wonder Girls',,
모험과,여러분의 모험과 목표도 듣고 싶어요.,,,,,,,en,Adventure and,,
한동안,하지만 한동안 그 춤이 정말 유명했어요.,,,,,,,en,"for some time, for quite a while, for a rather long time",,
모험이예요,이것들이 제 모험이예요.,,,,,,,en,It's an adventure,,
존중하며,서로를 존중하며 말을 해요.,,,,,,,en,Respect,,
계획같은,날씨나 주말 계획같은 이야기를 해요.,,,,,,,en,Planned,,
목표예요,저의 새해 목표예요.,,,,,,,en,It's the goal,,
역사를,지금부터 저의 케이팝 역사를 이야기해 보려고 해요.,,,,,,,en,History,,
배우기,…번째 목표는 새로운 언어 배우기!,,,,,,,en,Learning,,
비스트에서,비스트에서 양요섭 님을 제일 좋아했어요.,,,,,,,en,In the beast,,
소통하기,다양한 사람과 소통하기 위해,,,,,,,en,Communicating,,
목표도,여러분의 모험과 목표도 듣고 싶어요.,,,,,,,en,Goal Map,,
배우들이,배우들이 연기를 잘해서 금방 빠져들어요.,,,,,,,en,actors,,
연기를,배우들이 연기를 잘해서 금방 빠져들어요.,,,,,,,en,"smoke; performance, acting",,
년째,6 년째 미국에서 살 줄 몰랐어요,,,,,,,en,Years,,
빠져들어요,배우들이 연기를 잘해서 금방 빠져들어요.,,,,,,,en,"Dive, draw in",,
빠진,제가 제일 처음 빠진 그룹은 비스트예요.,,,,,,,en,"v.  sink, submerge; indulge",,
순간적으로,저는 순간적으로 주인공이 된 기분이에요!,,,,,,,en,momentarily; instantly,,
가져와야해요,바다에 가져간 쓰레기를 잘 가져와야해요.,,,,,,,en,I need to import,,
양요섭,비스트에서 양요섭 님을 제일 좋아했어요.,,,,,,,en,Yo Seop Yang,,
주인공이,저는 순간적으로 주인공이 된 기분이에요!,,,,,,,en,"protagonist , main characters , the heroine",,
어렸을,"어렸을 때, 10 년 동안…",,,,,,,en,"Child/ young ,  childhood memories",,
해에,"새로운 해에 함께 하는 팟캐스트,",,,,,,,en,Year,,
대학을,대학을 졸업하고 금방 집에 갈…,,,,,,,en,"college, university",,
부르는,갈 때마다 항상 부르는 비스트의 노래가 있었어요.,,,,,,,en,"to call out, sing",,
취미가,여러분은 어떤 취미가 있어요?,,,,,,,en,"hobby, interest",,
가벼운,또 미국에서는 가벼운 대화를 많이 해요.,,,,,,,en,"light; minor, mild",,
숨겼죠,사서 몰래 서랍에 숨겼죠 ㅎㅎ,,,,,,,en,Hid,,
용감한,과거의 용감한 저에게 감사해요.,,,,,,,en,Brave,,
성숙해질,…경험 때문에 저는 더 성숙해질 수 있었어요.,,,,,,,en,"growing up, becoming an adult, maturing",,
댄스,원더걸스의 텔미 댄스 아시나요?,,,,,,,en,Dance,,
춤이,하지만 한동안 그 춤이 정말 유명했어요.,,,,,,,en,The dancing,,
살아보고,학생 때 기숙사에 살아보고 싶었어요,,,,,,,en,to live,,
경찰관들이,경찰관들이 그 춤을 추는 비디오도…,,,,,,,en,Police officers,,
유명했어요,"…소녀시대, 샤이니 같은 그룹들이 유명했어요.",,,,,,,en,It was famous.,,
그룹들이,"원더걸스, 소녀시대, 샤이니 같은 그룹들이 유명했어요.",,,,,,,en,Groups,,
비스트의,갈 때마다 항상 부르는 비스트의 노래가 있었어요.,,,,,,,en,Beast,,
원더걸스,"원더걸스, 소녀시대, 샤이니 같은 그룹들이…",,,,,,,en,Wonder Girls,,
님을,비스트에서 양요섭 님을 제일 좋아했어요.,,,,,,,en,"pieces of (sewing) thread;   one´s beloved[love, lover]",,
어색했어요,처음에는 많이 어색했어요.,,,,,,,en,It was awkward.,,
그룹은,제가 제일 처음 빠진 그룹은 비스트예요.,,,,,,,en,n. group; b,,
굿즈를,대신 콘서트 굿즈를 샀어요.,,,,,,,en,goods,,
비스트를,같은 반에 비스트를 좋아하는 친구가 1 명…,,,,,,,en,Beast,,
비스트는,비스트는 이제 하이라이트가 됐죠.,,,,,,,en,Beasts are,,
신나요,…쇼크‘ 라고 해요! 정말 신나요.,,,,,,,en,"v. be excited, be elated",,
아시나요,원더걸스의 텔미 댄스 아시나요?,,,,,,,en,Do you know,,
픽션'과,픽션'과' 비가 오는 날엔'이었어요.,,,,,,,en,Fiction' and,,
날엔'이었어요,…픽션'과' 비가 오는 날엔'이었어요.,,,,,,,en,"It was ""one day.",,
않았던,한국에 살 때 생각하지 않았던 것들을 생각하게 됐어요.,,,,,,,en,was not,,
경험이었어요,정말 새로운 경험이었어요.,,,,,,,en,It was an experience,,
하이라이트가,비스트는 이제 하이라이트가 됐죠.,,,,,,,en,The highlight,,
비스트가,"어느 날, 비스트가 콘서트를 연 적이 있어요.",,,,,,,en,beast 가,,
연,"어느 날, 비스트가 콘서트를 연 적이 있어요.",,,,,,,en,Year,,
상자가,이제는 그 굿즈 상자가 어디 있는지도 모르겠어요.,,,,,,,en,"box, case, crate",,
적이,…춤 추는 것을 본 적이 없어요.,,,,,,,en,"somewhat, to some extent",,
굿즈,굿즈 중에 티셔츠도 있었는데,,,,,,,en,"goods, merchandise",,
픽션의,픽션의 안무는 정말 멋있어요.,,,,,,,en,The fictional,,
남편증을,그 친구가 저에게 양요섭 남편증을 사줬어요 ㅋㅋ,,,,,,,en,husband certificate,,
콘서트를,"어느 날, 비스트가 콘서트를 연 적이 있어요.",,,,,,,en,Concert,,
안무는,픽션의 안무는 정말 멋있어요.,,,,,,,en,Choreography,,
자유롭게,더 자유롭게 말할 수 있어요.,,,,,,,en,freely,,
서랍에,사서 몰래 서랍에 숨겼죠 ㅎㅎ,,,,,,,en,In the drawer,,
과거의,과거의 용감한 저에게 감사해요.,,,,,,,en,Past,,
몰랐던,한국에 살 때 몰랐던 것들을 배웠어요.,,,,,,,en,"did not know , unaware",,
나눠주세요,여러분들의 경험을 코멘트에 나눠주세요! ㅎ ㅎ,,,,,,,en,Please share it,,
어려웠는데,처음에는 어려웠는데 이제는 괜찮아요.,,,,,,,en,It was difficult,,
시스타,"그리고 시스타( SISTAR) 의' Shake It',…",,,,,,,en,Sistar (a K-group),,
투애니원,"…SISTAR) 의' Shake It', 투애니원(2 NE1) 의' lonely'도 자주…",,,,,,,en,2NE1,,
생겼죠,…음식을 좋아하고 새로운 취미가 생겼죠.,,,,,,,en,생기다: come out,,
나이는,미국에서 나이는 상관이 없어요.,,,,,,,en,Age,,
마주치면,"눈이 마주치면 안녕, 하고 인사해요.",,,,,,,en,"meet, run into 면",,
존댓말을,"예를 들면, 미국에서는 존댓말을 쓰지 않아요.",,,,,,,en,"formal language, honorific expressions",,
가게에서,가게에서 물건을 살 때 점원과…,,,,,,,en,In the shop,,
씨스타,씨스타 님들의 노래는 정말 신나요.,,,,,,,en,Sistar,,
님들의,씨스타 님들의 노래는 정말 신나요.,,,,,,,en,Of,,
경험,이 경험 때문에 저는 더 성숙해질…,,,,,,,en,experience,,
어울려요,여름과 아주 잘 어울려요.,동사,어울리다,동사,어울리다,,,en,"fits, looks good on/with",,
살아볼,앞으로 살아볼 계획이 있나요?,,,,,,,en,Live view,,
공감할,가사도 정말 좋아요. 언제나 공감할 수 있어요.,,,,,,,en,"sympathize (with), identify (with)",,
팝송도,한국 노래도 듣고 미국 팝송도 들어요.,,,,,,,en,팝송 = pop song (koreanized),,
해외에서,여러분은 해외에서 살아 보신 적이 있나요?,,,,,,,en,From abroad,,
